{'quesion_id': 0, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814130.3830297}
{'quesion_id': 0, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814163.450661}
{'quesion_id': 0, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814176.4291666}
{'quesion_id': 0, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814182.79674}
{'quesion_id': 0, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814193.517288}
{'quesion_id': 0, 'doc_id': 3, 'ans': 7, 'time_stamp': 1625814201.3515222}
{'quesion_id': 1, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814267.9355688}
{'quesion_id': 1, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814271.0648665}
{'quesion_id': 1, 'doc_id': 0, 'ans': 7, 'time_stamp': 1625814297.8886778}
{'quesion_id': 2, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814366.2108426}
{'quesion_id': 2, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814385.027471}
{'quesion_id': 2, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814399.438461}
{'quesion_id': 2, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814407.7011802}
{'quesion_id': 2, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814414.473686}
{'quesion_id': 2, 'doc_id': 3, 'ans': 7, 'time_stamp': 1625814421.904488}
{'quesion_id': 3, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814542.3881116}
{'quesion_id': 3, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814544.9999435}
{'quesion_id': 3, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814550.3158293}
{'quesion_id': 3, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814555.4785366}
{'quesion_id': 3, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814560.517313}
{'quesion_id': 3, 'doc_id': 4, 'ans': 6, 'time_stamp': 1625814573.8755856}
{'quesion_id': 3, 'doc_id': 4, 'ans': 7, 'time_stamp': 1625814579.4526396}
{'quesion_id': 4, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814597.6681287}
{'quesion_id': 4, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814599.7196846}
{'quesion_id': 4, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814605.8439667}
{'quesion_id': 4, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814610.9923186}
{'quesion_id': 4, 'doc_id': 2, 'ans': 7, 'time_stamp': 1625814620.7240193}
{'quesion_id': 5, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814651.870812}
{'quesion_id': 5, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814654.29381}
{'quesion_id': 5, 'doc_id': 0, 'ans': 7, 'time_stamp': 1625814665.1541305}
{'quesion_id': 6, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814693.6739957}
{'quesion_id': 6, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814695.7418528}
{'quesion_id': 6, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814701.003346}
{'quesion_id': 6, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814706.5363503}
{'quesion_id': 6, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814718.2843907}
{'quesion_id': 6, 'doc_id': 4, 'ans': 6, 'time_stamp': 1625814724.4938316}
{'quesion_id': 6, 'doc_id': 4, 'ans': 7, 'time_stamp': 1625814731.6962764}
{'quesion_id': 7, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814759.7908664}
{'quesion_id': 7, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814761.7184412}
{'quesion_id': 7, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814769.68506}
{'quesion_id': 7, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814774.8963938}
{'quesion_id': 7, 'doc_id': 2, 'ans': 7, 'time_stamp': 1625814781.101302}
{'quesion_id': 8, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814793.4572}
{'quesion_id': 8, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814805.1381686}
{'quesion_id': 8, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814811.2145996}
{'quesion_id': 8, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814818.3378043}
{'quesion_id': 8, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814823.3336527}
{'quesion_id': 8, 'doc_id': 3, 'ans': 7, 'time_stamp': 1625814830.4282875}
{'quesion_id': 9, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814851.294997}
{'quesion_id': 9, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814854.9951463}
{'quesion_id': 9, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814861.4738986}
{'quesion_id': 9, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814866.5466778}
{'quesion_id': 9, 'doc_id': 3, 'ans': 6, 'time_stamp': 1625814871.5410736}
{'quesion_id': 9, 'doc_id': 4, 'ans': 6, 'time_stamp': 1625814876.4211123}
{'quesion_id': 9, 'doc_id': 4, 'ans': 7, 'time_stamp': 1625814882.9145741}
{'quesion_id': 10, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814899.0682228}
{'quesion_id': 10, 'doc_id': 0, 'ans': 6, 'time_stamp': 1625814902.2985058}
{'quesion_id': 10, 'doc_id': 1, 'ans': 6, 'time_stamp': 1625814909.9893296}
{'quesion_id': 10, 'doc_id': 2, 'ans': 6, 'time_stamp': 1625814915.3952081}
{'quesion_id': 10, 'doc_id': 2, 'ans': 7, 'time_stamp': 1625814923.2349572}
{'quesion_id': 11, 'doc_id': 15, 'ans': 9, 'time_stamp': 1625814955.787125}
